OUTPUT GOES HERE

Current time: Mon Nov 26 19:05:56 2018
 
 Number of Buffers :                             7 
 Number of Producers :                           5 
 Number of Consumers :                           3 
 Number of items Produced by each Producer :    16  
 Number of items consumed by each consumer :    26 
 Over consume on? :                              1 
 Over consume amount :                          28 
 Time each Producer Sleeps (seconds) :           1 
 Time each Consumer Sleeps (seconds) :           1 
   1 was produced by producer->    1 
   2 was produced by producer->    3 
   3 was produced by producer->    3 
   4 was produced by producer->    3 
   5 was produced by producer->    3 
   6 was produced by producer->    3 
   7 was produced by producer->    3 
   1 was consumed by consumer->    3 
   2 was consumed by consumer->    3 
   3 was consumed by consumer->    3 
   4 was consumed by consumer->    3 
   5 was consumed by consumer->    3 
   6 was consumed by consumer->    3 
   7 was consumed by consumer->    3 
   8 was produced by producer->    2 
   9 was produced by producer->    2 
   10 was produced by producer->    2 
   11 was produced by producer->    2 
   12 was produced by producer->    2 
   13 was produced by producer->    2 
   14 was produced by producer->    2 
   8 was consumed by consumer->    3 
   9 was consumed by consumer->    3 
   10 was consumed by consumer->    3 
   11 was consumed by consumer->    3 
   12 was consumed by consumer->    3 
   13 was consumed by consumer->    3 
   14 was consumed by consumer->    3 
   15 was produced by producer->    3 
   16 was produced by producer->    3 
   17 was produced by producer->    3 
   18 was produced by producer->    3 
   19 was produced by producer->    3 
   20 was produced by producer->    3 
   21 was produced by producer->    3 
   15 was consumed by consumer->    2 
   16 was consumed by consumer->    2 
   17 was consumed by consumer->    2 
   18 was consumed by consumer->    2 
   19 was consumed by consumer->    2 
   20 was consumed by consumer->    2 
   21 was consumed by consumer->    2 
   22 was produced by producer->    5 
   22 was consumed by consumer->    3 
   23 was produced by producer->    3 
   24 was produced by producer->    3 
   25 was produced by producer->    3 
   26 was produced by producer->    4 
   27 was produced by producer->    4 
   23 was consumed by consumer->    2 
   24 was consumed by consumer->    2 
   25 was consumed by consumer->    2 
   26 was consumed by consumer->    2 
   27 was consumed by consumer->    2 
   28 was produced by producer->    1 
   29 was produced by producer->    1 
   30 was produced by producer->    1 
   31 was produced by producer->    1 
   28 was consumed by consumer->    3 
   29 was consumed by consumer->    3 
   30 was consumed by consumer->    3 
